Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",586,4.5,10012
SyvC0s3y0ZrtnLbwnvw7tw,Tim Ho Wan,85 4th Ave,"{'latitude': 40.731338, 'longitude': -73.990145}",1855,3.5,10003
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,134 E 27th St,"{'latitude': 40.74183, 'longitude': -73.98271}",283,4.5,10010
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,1 Doyers St,"{'latitude': 40.7142, 'longitude': -73.99787}",1817,4.0,10013
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,"{'latitude': 40.773951, 'longitude': -73.957927}",508,4.0,10075
ynIx549QFj29o84y1RSGyw,Bao Bao Cafe,"61 Lexington Ave, Unit B","{'latitude': 40.740829, 'longitude': -73.983474}",509,4.0,10010
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,401 6th Ave,"{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}",834,4.0,10014
qrncvjkiKN5Z-JC06ygy6A,Hutong,731 Lexington Ave,"{'latitude': 40.761551, 'longitude': -73.967443}",479,3.5,10022
x_t-FtDa5HVgc-wecp0HBg,Supreme Restaurant,100 Mott St,"{'latitude': 40.71726, 'longitude': -73.99721}",2236,3.5,10013
53lgp8fFEuK3Yo7yeXc89A,Tim Ho Wan - Hell's Kitchen,610 9th Ave,"{'latitude': 40.75935, 'longitude': -73.99175}",546,4.0,10036
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,"{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",541,4.0,10036
SMrj71bWo1lomSbU8wXgyw,The Dolar Shop,55 3rd Ave,"{'latitude': 40.731032, 'longitude': -73.988569}",319,4.5,10003
BtsXojrMtfLRhhFK7rm35A,Hupo,1007 50th Ave,"{'latitude': 40.742827, 'longitude': -73.953575}",209,4.5,11101
gcEMZjjqy5Ucnv_5Pv-q1g,Tasty Hand Pulled Noodles II,648 9th Ave,"{'latitude': 40.760537, 'longitude': -73.990782}",385,4.0,10036
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,13 Mott St,"{'latitude': 40.714167, 'longitude': -73.998803}",1341,4.0,10013
OvdCm3j_5HzItolfvwrEUA,Lilli & Loo,785 Lexington Ave,"{'latitude': 40.76357, 'longitude': -73.96703}",457,3.5,10065
8ig0yf0003DAp4YOGTlbVg,Spicy Village,"68 Forsyth St, Ste B","{'latitude': 40.71695, 'longitude': -73.99327}",801,4.0,10002
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",489,4.0,10028
9HD5HQiTkURkx5i7hL92EA,Spicy Moon West Village,68 W 3rd St,"{'latitude': 40.729318, 'longitude': -73.99832}",312,4.5,10012
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,"{'latitude': 40.73297, 'longitude': -73.98829}",282,4.5,10003
tguMh2GgOcU9fu6WN3dqpw,The Original Buddha Bodai Kosher Vegetarian Restaurant,5 Mott St,"{'latitude': 40.7138543, 'longitude': -73.9989484}",1233,4.0,10013
_usWsAYSKKV2q8xw-3ajrA,Nom Wah Tea Parlor,13 Doyers St,"{'latitude': 40.714490521829, 'longitude': -73.998153857324}",2308,3.5,10013
bT4CDzyhV-frXV6ijvXnvw,Super Taste,26 Eldridge St,"{'latitude': 40.715117, 'longitude': -73.9933339}",713,4.0,10002
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,204E 58th St,"{'latitude': 40.76063, 'longitude': -73.96664}",363,3.5,10022
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,"{'latitude': 40.734207418277244, 'longitude': -74.006519}",456,4.0,10014
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,36 W 48th St,"{'latitude': 40.75781, 'longitude': -73.97994}",557,3.5,10036
