Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
MaoCNdHni6MLjM9iYQqHcg,Frida Midtown,214 E 52nd St,"{'latitude': 40.756610894855896, 'longitude': -73.96919065816803}",117,4.5,10022
ub2VfE7SRLJABAClzGZp3A,Tacombi,30 W 24th St,"{'latitude': 40.7426928390848, 'longitude': -73.9903668237837}",769,4.0,10010
boRM4i0UQswxQIp6CA9y_A,La Esquina - SoHo,114 Kenmare St,"{'latitude': 40.721372, 'longitude': -73.997529}",2163,3.5,10012
BbMUXd69i0tlWS2aoppwaQ,El Camion,194 Ave A,"{'latitude': 40.7291, 'longitude': -73.98105}",759,4.0,10009
V9jFJfuK3FzWCJGoY15EgQ,Blue Maiz,606 8th Ave,"{'latitude': 40.75541701110701, 'longitude': -73.99069692538708}",291,4.0,10018
_HxxUvRp-0FMH_RoEzG1TA,Barnacho,937 2nd Ave,"{'latitude': 40.75401583517405, 'longitude': -73.96886851277523}",316,4.0,10017
jYAqup9AF9N9wYAWYanZ-A,Arriba Arriba Midtown,762 9th Ave,"{'latitude': 40.7641288111074, 'longitude': -73.9882850646973}",995,3.5,10019
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,253 Broome St,"{'latitude': 40.718022, 'longitude': -73.990026}",1176,4.0,10002
PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,65 2nd Ave,"{'latitude': 40.7260849061034, 'longitude': -73.9897361397743}",416,4.5,10003
hKkPlYmHoS9Nb_UbGGqx8A,Street Taco,358 3rd Ave,"{'latitude': 40.74097, 'longitude': -73.98202}",485,4.0,10016
Jd2_ZC4ugEMSY9ElivNZgg,Summer Salt,30 East 23rd St,"{'latitude': 40.74057, 'longitude': -73.98768}",188,4.5,10010
kn9rgR4KlvyTTi-s76OIaQ,Toloache 82nd,166 E 82nd St,"{'latitude': 40.776483, 'longitude': -73.956708}",503,4.0,10028
9aJ1MVTthZw3QjqoG7mPjg,Rosie's,29 E 2nd St,"{'latitude': 40.72492, 'longitude': -73.99079}",883,4.0,10003
d7YbQzGlmawMGAzUHzZvuw,Tacombi,267 Elizabeth St,"{'latitude': 40.72402294103019, 'longitude': -73.99386129999999}",1201,4.0,10012
DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,79 St Marks Pl,"{'latitude': 40.72788723475379, 'longitude': -73.98557625767012}",471,4.0,10003
YsDmYRzJo3kiwZvIe1r0Fg,Playa Betty’s,320 Amsterdam Ave,"{'latitude': 40.78075, 'longitude': -73.98032}",956,3.5,10023
uLWp1QR_W2WJImMnB706hg,MEXiCUE,160 8th Ave,"{'latitude': 40.74202, 'longitude': -74.00046}",566,4.0,10011
QwL5LS436Xjo9MHFi2rc-g,Agave,140 7th Ave S,"{'latitude': 40.734767, 'longitude': -74.002415}",1402,3.5,10014
veeKjzzHsO9e4wKLxpuhtQ,El Rey Del Taco Truck,33-01 30th Ave,"{'latitude': 40.76622, 'longitude': -73.91933}",502,4.0,11103
ueL0t_7Yu_ev2RrWK9dgDA,Tacombi,23 W 33rd St,"{'latitude': 40.74844037111226, 'longitude': -73.98618609111018}",258,4.0,10001
DHFEpeJXemrdxIuGGcyurg,De Mole,4502 48th Ave,"{'latitude': 40.7391932, 'longitude': -73.9202624}",658,4.0,11377
VIIfYEzIppjps0K_J_8zLg,El Rio Grande,160 E 38th St,"{'latitude': 40.74826, 'longitude': -73.97669}",695,3.5,10016
k3iUNUGsl-xpQ_EsOfTadA,Ollin Restaurant,339 E 108th St,"{'latitude': 40.7912288, 'longitude': -73.9395386}",456,4.0,10029
6403iqg-_a-sdg-DrKEfhw,Birria-Landia,Roosevelt Ave & 78th St,"{'latitude': 40.747258, 'longitude': -73.887784}",504,4.5,11372
e7krRmyE5upHv2gsEOdR8w,Mayamezcal,304 E 6th St,"{'latitude': 40.72711, 'longitude': -73.98817}",619,4.0,10003
EHUNrnIgnhwTnpOm3gEESg,Tacuba,35-01 36th St,"{'latitude': 40.75609, 'longitude': -73.924441}",741,4.0,11106
YFL1rAdlv7J0cswHVhvCtQ,Ruta Oaxaca Mexican Cuisine,35-03 Broadway,"{'latitude': 40.76058, 'longitude': -73.92182}",238,4.5,11106
7YYp_2WYWdRSt_NohV7Psw,Casa Birria NYC,86th & 3rd Ave,"{'latitude': 40.778824, 'longitude': -73.953986}",90,5.0,10028
ifGXrRqs-zp6ek7LsoozrQ,Taqueria Diana,129 2nd Ave,"{'latitude': 40.7284337609976, 'longitude': -73.9879844318771}",782,3.5,10003
zNcDCPiUsE5aT6jyaCVtmA,Fresco's Cantina,12-14 31st Ave,"{'latitude': 40.76837, 'longitude': -73.93303}",289,4.5,11106
tvqtAjAyc7dplVVwhw3VZQ,La Contenta Oeste,78 W 11th St,"{'latitude': 40.7352, 'longitude': -73.99808}",307,4.0,10011
UmY9dyGOclJ0tGbn1IozlA,Zaragoza Mexican Deli & Grocery,215 Ave A,"{'latitude': 40.730102, 'longitude': -73.980949}",323,4.0,10009
Y39SdfmS0Z_GepcFnFqlMA,Eva's x Cinco de Mayo,113 E 31st St,"{'latitude': 40.745068, 'longitude': -73.981859}",273,4.0,10016
8uuMkezIN1c8zGEWkaMRqg,Los Tacos No. 1,136 Church St,"{'latitude': 40.714282, 'longitude': -74.008675}",371,4.5,10007
LWHHNai3yu6ovrf4Bcepjg,Birria Landia Williamsburg,495 Metropolian Ave,"{'latitude': 40.71390489837251, 'longitude': -73.95196261271435}",216,4.5,11211
NUdrJYB7GHRuwVVETSDIFQ,Top Quality,10-29 44th Rd,"{'latitude': 40.74961, 'longitude': -73.94994}",155,4.5,11101
u9xVzV1OZC5pwtUgaHLM-A,El Kallejon,209 E 117th St,"{'latitude': 40.798538, 'longitude': -73.938805}",339,4.5,10035
J9pgjC191T-odCmTAG-grQ,El Diablito Taqueria,60 E 3rd St,"{'latitude': 40.72504, 'longitude': -73.98917}",425,4.0,10003
6AJwsgXr7YwsqneGVAdgzw,Las Catrinas Mexican Bar & Eatery,32-02 Broadway,"{'latitude': 40.7614214682633, 'longitude': -73.9246649456171}",441,4.0,11106
sul_ihulQ5VUPNbk9liWqA,Cantina Rooftop,605 W 48th St,"{'latitude': 40.76497439968185, 'longitude': -73.99610715738004}",1439,3.0,10036
mmAlHhnTDXIohPC3wfl0hQ,Mesa Coyoacan,372 Graham Ave,"{'latitude': 40.715528, 'longitude': -73.944273}",823,4.0,11211
N90gLDq4XgqYanlRqaeNKg,Acapulco,"1116 Manhattan Ave, Ste 2-L","{'latitude': 40.7367, 'longitude': -73.95517}",297,4.0,11222
tuP7STBjszTvKcQLeFMnkw,Nina's Great Burrito Bar,522 Columbus Ave,"{'latitude': 40.786026, 'longitude': -73.972724}",388,4.0,10024
2hmhZim4bX2lbjPSNc7LaA,Javelina,119 E 18th St,"{'latitude': 40.7368812561035, 'longitude': -73.9873886108398}",528,4.0,10003
-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4708 47th Ave,"{'latitude': 40.740766, 'longitude': -73.917876}",412,4.5,11377
xN4yKQMzo3PIoQlFamUOLQ,La Esquina - Midtown,200 W 55th St,"{'latitude': 40.7642986928764, 'longitude': -73.9814604957066}",259,4.0,10019
xGNzAsakHgbbl9fwgSoiUg,Kahlo,525 West 29th St,"{'latitude': 40.752092, 'longitude': -74.0026757}",222,4.0,10001
Wm6vj0ekRAzZnaeaBEkOag,Taqueria Downtown,236 Grove St,"{'latitude': 40.716222, 'longitude': -74.044659}",2024,4.0,07302
vpWPgusmUD0cYNKf0uEQIw,Cemitas El Tigre,45-14 48th Ave,"{'latitude': 40.7391913, 'longitude': -73.9198491}",272,4.5,11377
-Qn5nXGhxWHNePA0dYmPSg,Tacos Times Square,"43 West 55st, 1fl","{'latitude': 40.76253, 'longitude': -73.97671}",119,4.0,10019
frWu5KfSULdCHd0GmA-ytw,La Palapa,77 St Mark's Pl,"{'latitude': 40.727969, 'longitude': -73.985604}",753,3.5,10003
0W0m68TNPbodGCA3PhIB4w,The Black Ant,60 2nd Ave,"{'latitude': 40.72578, 'longitude': -73.98952}",615,4.0,10003
xrKa2SpgWzPEEbji3Iw2DQ,The Calaveras,949 Columbus Ave,"{'latitude': 40.79956, 'longitude': -73.96241}",212,4.5,10025
5LO5C4doYF_UP2OB29zYMg,Empellón Taqueria,230 W 4th St,"{'latitude': 40.7341219, 'longitude': -74.0030294}",751,3.5,10014
cy0vBvZu2Eb4XtRFCp8Seg,Conmigo,1685 1st Ave,"{'latitude': 40.77793, 'longitude': -73.94902}",334,4.0,10128
WE064Ln20S4MQVT1hETCCw,Canyon Road,1470 1st Ave,"{'latitude': 40.770694, 'longitude': -73.953774}",297,4.0,10075
