Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
fPW_GBZsnBNsIzK62sCHBg,Xi'an Famous Foods,45 Bayard St,"{'latitude': 40.715082, 'longitude': -73.997342}",1220,4.0,10013
jW22gmsZjh5hFJsC1qUDOA,The Baroness Bar Burgers + Beer,47-18 Vernon Blvd,"{'latitude': 40.74496, 'longitude': -73.95362}",480,4.0,11101
XP1podH94NfIDYhUkZRTMg,Shake Shack Grand Central Terminal,"89 E 42nd St, Inside Grand Central Terminal - Lower Level","{'latitude': 40.752779, 'longitude': -73.976731}",622,3.5,10017
4_XK2wWRk-tx0ZTdi2CiGg,Shake Shack,600 3rd Ave,"{'latitude': 40.74932272533183, 'longitude': -73.97590363783955}",389,4.0,10016
5QEOFR9l8H3a0Wd7kd53BA,Bareburger - Astoria,33-21 31st Ave,"{'latitude': 40.763452, 'longitude': -73.921073}",1291,3.5,11103
FWjl6BrMie6H78OSWJG5Pg,Bareburger - Columbus Circle,313 W 57th St,"{'latitude': 40.76726, 'longitude': -73.98346}",455,4.0,10019
ue0hsTh2cULI4vU2I0p7jA,Connolly's Pub & Restaurant,121 W 45th St,"{'latitude': 40.757371, 'longitude': -73.98358}",515,3.5,10036
JNkK9xp-hTWxsLrboPWC3Q,The Perfect Pint,123 W 45th St,"{'latitude': 40.7574091835053, 'longitude': -73.9837408764447}",432,4.0,10036
GKspSLe5U3qkUgQTXfngyQ,Handsome Rice,133 E 31st St,"{'latitude': 40.74466, 'longitude': -73.98123}",149,4.5,10016
X97pE0LRWOng1q66kjAz1g,The Independent,147 W 40th St,"{'latitude': 40.754782, 'longitude': -73.987377}",195,4.5,10018
_wsPfnUO-pRrvh54c1M2qw,McGee's Pub,240 W 55th St,"{'latitude': 40.7648124694824, 'longitude': -73.9829788208008}",712,3.5,10019
_d8IDMI6orvEf7SEYU_bFQ,Burger Club,32-02 30th Ave,"{'latitude': 40.7663540519204, 'longitude': -73.9205549005943}",743,4.0,11102
FgPvSR_42MtGKy0_n055iw,Double Chicken Please,115 Allen St,"{'latitude': 40.719584, 'longitude': -73.990486}",353,4.5,10002
qOp4T7UxfL6MgO41dN3Qlg,Whitmans,406 E 9th St,"{'latitude': 40.727942, 'longitude': -73.984469}",671,4.0,10009
WbTOi7MUctB_eilgZ4V7RA,Shake Shack - Herald Square,1333 Broadway,"{'latitude': 40.751426496575554, 'longitude': -73.9879403440922}",408,4.0,10018
D2qV8sDdHEFlHbVz7VSHRQ,Black Tap - Soho,529 Broome St,"{'latitude': 40.723794, 'longitude': -74.004193}",1369,3.5,10013
XLhzRqTsv9vZwNjmwS2e9g,Carnegie Diner,205 W 57th St,"{'latitude': 40.766056, 'longitude': -73.980504}",348,4.0,10019
FCqKzOUM6DAxjU_xkXdhzg,Royale,157 Ave C,"{'latitude': 40.7258174842573, 'longitude': -73.9778455564146}",533,4.0,10009
kGkAU_WT0BjDZsSD5keRZA,Hard Rock Cafe,1501 Broadway,"{'latitude': 40.7568933348604, 'longitude': -73.9865529930391}",1001,3.0,10036
7l6qQXBs5qhGfhsCZ8bIrA,Ted's Montana Grill - New York,110 W 51st St,"{'latitude': 40.7608132945898, 'longitude': -73.9802277088165}",418,3.5,10020
UNSdhsl2KL6w92ovHlFh9A,Eisenberg's Sandwich Shop,174 5th Ave,"{'latitude': 40.74114, 'longitude': -73.99011}",637,3.5,10010
Uut2fBy53XdIgx1rLWdQeg,Empanada Mama L.E.S,95 Allen St,"{'latitude': 40.71873, 'longitude': -73.9909}",905,4.0,10002
vqmSE-4AEUyCwLWUiKU-3A,Sin City Burger,311 E 76th St,"{'latitude': 40.771226, 'longitude': -73.955619}",191,4.5,10021
N6XXfG1ZxSeQxwxVZUkvHg,Schnipper's,570 Lexington Ave,"{'latitude': 40.75686, 'longitude': -73.97228}",375,3.5,10022
KQwPro9AkaehK5i4DI_g-A,Handcraft Burgers and Brew,110 W 40th St,"{'latitude': 40.75382, 'longitude': -73.9859}",94,4.5,10018
1TjhL68uTF473c3E-cuLiw,La Bonbonniere,28 8th Ave,"{'latitude': 40.737769995088, 'longitude': -74.004336265057}",421,4.0,10014
f0CAuvkgAByWo4ceT3u9uw,Kobeyaki,110 W 40th St,"{'latitude': 40.753931, 'longitude': -73.985985}",317,3.5,10018
KF4dTBX9ITMTSjwEXxXZ6g,Friedman's,50 W 72nd St,"{'latitude': 40.7770249, 'longitude': -73.97845749999999}",270,4.0,10023
fqHACybQl1vlATXaIwnLqQ,Bareburger - The Village,535 Laguardia Pl,"{'latitude': 40.7283242681949, 'longitude': -73.9982535225272}",778,4.0,10012
